,open,high,low,close,volume
2023-12-29,1121.46,1124.38,1114.67,1116.25,2055800.0
2023-12-28,1131.69,1132.24,1119.05,1122.41,2124925.0
2023-12-27,1136.0,1139.57,1122.9601,1126.17,1975536.0
2023-12-26,1124.24,1135.5,1123.02,1131.89,1679327.0
2023-12-22,1127.98,1132.0,1113.53,1121.98,1908897.0
2023-12-21,1132.65,1135.42,1115.0,1127.29,2410561.0
2023-12-20,1132.7,1141.36,1109.26,1110.38,3452335.0
2023-12-19,1142.0,1150.46,1132.505,1139.58,3597230.0
2023-12-18,1120.8,1151.82,1118.64,1147.0,5474137.0
2023-12-15,1095.22,1149.8799,1094.6184,1129.74,11854371.0
2023-12-14,1092.18,1121.46,1090.28,1106.49,6696402.0
2023-12-13,1068.0,1099.78,1062.54,1089.69,7165375.0
2023-12-12,1027.99,1079.39,1024.58,1072.28,9024155.0
2023-12-11,957.01,1039.51,956.09,1029.24,10118369.0
2023-12-08,927.84,950.73,910.5262,944.3,6966842.0
2023-12-07,905.54,924.12,903.64,922.26,4351689.0
2023-12-06,920.36,920.97,903.1,903.64,2446650.0
2023-12-05,911.6,917.27,905.845,913.12,3706593.0
2023-12-04,920.64,930.97,916.44,923.97,2500921.0
2023-12-01,922.46,933.9,908.0,930.0,2961244.0
2023-11-30,941.0,942.415,918.37,925.73,4957110.0
2023-11-29,948.34,959.4299,939.37,940.83,3484274.0
2023-11-28,939.94,950.86,934.16,946.35,3902494.0
2023-11-27,976.15,981.01,949.33,950.24,9696202.0
2023-11-24,974.96,979.86,966.75,978.87,2315789.0
2023-11-22,983.69,987.9899,971.0,972.0,3375092.0
2023-11-21,975.0,991.0,971.63,981.2,4334384.0
2023-11-20,973.0,999.87,973.0,995.71,1868034.0
2023-11-17,958.21,983.89,951.0,977.73,1979461.0
2023-11-16,964.0,968.7,950.52,959.55,2619803.0
2023-11-15,979.51,981.75,966.91,975.4,1609948.0
2023-11-14,962.34,976.77,955.2521,972.96,2388558.0
2023-11-13,950.05,952.4,940.48,946.93,1689297.0
2023-11-10,921.74,958.95,918.21,957.52,3628792.0
2023-11-09,912.5,929.7999,908.56,911.38,2448621.0
2023-11-08,900.0,912.9084,899.0,911.13,1527994.0
2023-11-07,882.32,901.77,876.155,897.82,1936665.0
2023-11-06,881.56,885.89,871.21,880.83,1287148.0
2023-11-03,877.5,887.5,871.0567,882.68,1804129.0
2023-11-02,862.0,880.5,860.0,871.3,1875945.0
2023-11-01,842.0,853.825,835.57,852.94,1868391.0
2023-10-31,843.89,845.5,832.6,841.37,1474720.0
2023-10-30,841.1,849.43,827.15,841.25,2088946.0
2023-10-27,830.0,840.21,828.54,838.36,1823628.0
2023-10-26,847.91,854.415,818.34,826.75,2791656.0
2023-10-25,877.07,878.73,846.08,849.63,2143160.0
2023-10-24,864.0,883.0,863.12,881.11,1497244.0
2023-10-23,857.96,873.5999,842.82,862.22,1645579.0
2023-10-20,874.9,874.9,851.84,853.63,2695307.0
2023-10-19,887.02,889.49,865.67,867.83,2661970.0
2023-10-18,879.945,895.63,875.2,887.03,2040434.0
2023-10-17,885.15,892.98,866.0,884.4,3300834.0
2023-10-16,890.97,915.785,890.97,902.57,2115048.0
