,open,high,low,close,volume
2023-12-29,357.56,357.86,355.31,356.66,3270014.0
2023-12-28,357.48,358.68,356.725,357.57,2742792.0
2023-12-27,355.93,357.08,355.5,356.95,2457831.0
2023-12-26,356.9,357.77,356.08,356.83,1965105.0
2023-12-22,356.5,358.26,355.4063,356.47,2333775.0
2023-12-21,356.02,357.2,353.63,356.14,2852723.0
2023-12-20,361.52,361.66,355.12,355.35,3930397.0
2023-12-19,360.15,362.55,359.09,361.8,2819491.0
2023-12-18,357.42,361.14,357.0,359.65,4527792.0
2023-12-15,357.63,358.0,354.2,356.5,8579201.0
2023-12-14,364.05,364.05,356.38,358.12,5516384.0
2023-12-13,360.19,362.15,359.0433,362.03,3161868.0
2023-12-12,357.9,360.405,356.76,360.02,3193023.0
2023-12-11,355.0,357.49,354.21,357.06,3111595.0
2023-12-08,353.0,353.67,351.02,353.08,3289270.0
2023-12-07,352.0,353.02,350.85,352.7,2833348.0
2023-12-06,356.15,357.45,351.89,352.38,2997195.0
2023-12-05,355.23,356.6,352.29,355.03,3281046.0
2023-12-04,355.91,357.83,353.79,356.66,3054245.0
2023-12-01,359.94,360.24,355.3,357.07,4706958.0
2023-11-30,359.45,360.43,358.42,360.0,4607404.0
2023-11-29,360.95,361.52,358.3001,358.69,3141450.0
2023-11-28,361.55,362.12,359.21,360.05,2958540.0
2023-11-27,362.64,362.64,359.58,361.34,2583674.0
2023-11-24,362.51,363.1919,361.24,362.68,1281978.0
2023-11-22,361.76,362.46,360.05,361.8,2110602.0
2023-11-21,360.58,363.03,360.25,361.0,2919342.0
2023-11-20,359.35,362.61,358.18,361.33,3219051.0
2023-11-17,360.47,360.56,358.07,358.93,3260955.0
2023-11-16,357.79,360.0,357.23,359.86,2830358.0
2023-11-15,355.02,357.31,354.4822,356.79,3577350.0
2023-11-14,352.52,355.95,351.25,354.25,3388316.0
2023-11-13,350.09,350.6475,348.81,350.01,2196921.0
2023-11-10,349.6,351.2,348.6,350.56,3702339.0
2023-11-09,347.64,350.11,346.8816,348.18,3054272.0
2023-11-08,346.85,348.0,344.6871,346.3,2604356.0
2023-11-07,346.81,346.95,344.295,346.17,3063822.0
2023-11-06,354.03,354.03,344.06,346.63,5489338.0
2023-11-03,350.17,354.35,349.79,351.81,4410901.0
2023-11-02,346.39,349.385,344.5,349.02,3437737.0
2023-11-01,341.21,345.33,340.58,343.75,2790593.0
2023-10-31,337.95,341.49,337.5,341.33,3067894.0
2023-10-30,332.96,338.36,332.175,337.41,2635839.0
2023-10-27,336.12,336.19,330.58,331.71,3609115.0
2023-10-26,337.07,338.315,335.46,336.16,2687088.0
2023-10-25,338.59,339.62,336.55,336.9,2624711.0
2023-10-24,338.18,339.85,337.77,338.63,2356386.0
2023-10-23,334.07,338.88,333.49,336.84,2795170.0
2023-10-20,338.15,340.0,334.35,335.86,3472804.0
2023-10-19,340.31,342.69,338.45,338.66,2745685.0
2023-10-18,344.72,344.83,339.96,340.89,2978004.0
2023-10-17,346.18,348.4091,344.15,345.39,2999308.0
2023-10-16,348.0,349.94,345.83,346.23,3120530.0
2023-10-13,346.0,348.44,343.88,345.09,2805970.0
2023-10-12,348.21,348.66,343.02,345.66,2678343.0
2023-10-11,349.38,349.6,344.92,348.43,2621414.0
2023-10-10,347.0,349.51,345.5,348.56,2859909.0
2023-10-09,344.24,345.9,342.83,345.45,2763106.0
2023-10-06,344.1,348.76,341.86,346.34,3176158.0
2023-10-05,343.7,345.94,342.37,345.06,3029114.0
2023-10-04,342.92,344.01,339.51,343.69,3245444.0
2023-10-03,347.39,348.2441,342.13,343.04,3153221.0
2023-10-02,349.64,350.0,345.41,348.08,3529125.0
2023-09-29,357.3,357.5,348.55,350.3,4935674.0
2023-09-28,357.8,359.47,356.67,357.06,2734400.0
2023-09-27,360.01,360.52,354.27,357.78,3537042.0
2023-09-26,359.8,360.79,357.95,359.42,3070751.0
2023-09-25,359.01,361.89,357.27,361.71,2561880.0
2023-09-22,362.78,363.42,359.76,360.16,3970107.0
2023-09-21,366.56,367.2,362.94,363.28,3179013.0
2023-09-20,371.33,371.3427,366.73,366.82,2272080.0
2023-09-19,371.64,373.34,368.46,370.48,2606955.0
2023-09-18,369.33,371.33,367.785,370.43,3131548.0
2023-09-15,368.52,370.2,367.52,367.86,11615119.0
2023-09-14,370.1,370.22,368.26,369.5,3677865.0
2023-09-13,369.33,370.84,365.97,367.82,3265928.0
2023-09-12,365.65,370.43,365.47,367.78,2901774.0
2023-09-11,364.87,366.61,364.51,365.52,2926680.0
2023-09-08,362.52,364.83,361.77,363.15,3022938.0
2023-09-07,360.96,363.3,360.87,361.8,3264576.0
2023-09-06,360.02,362.8,359.257,361.67,2656676.0
2023-09-05,363.88,366.47,360.0,360.47,2977246.0
2023-09-01,361.9999,363.39,360.6,362.46,2638297.0
2023-08-31,362.18,362.47,359.25,360.2,2845092.0
2023-08-30,358.63,362.68,358.6,361.06,3063438.0
2023-08-29,355.04,358.59,354.01,358.29,2286942.0
2023-08-28,357.89,358.41,354.53,355.55,1729035.0
2023-08-25,354.99,357.35,352.92,355.93,2137549.0
2023-08-24,354.35,357.2276,354.13,354.3,2526601.0
2023-08-23,351.63,354.32,351.54,354.26,2241066.0
2023-08-22,353.01,353.4999,349.6601,350.57,2366926.0
2023-08-21,354.09,354.18,349.61,352.09,2543100.0
2023-08-18,351.47,354.3,351.25,352.56,2870910.0
2023-08-17,354.01,356.3,351.88,353.19,2851173.0
2023-08-16,354.6,358.7203,353.38,354.11,2196921.0
2023-08-15,357.0,357.92,353.67,354.5,2866087.0
2023-08-14,358.25,358.95,356.81,358.48,1991973.0
2023-08-11,356.26,359.2512,353.2,358.35,2476339.0
2023-08-10,359.36,362.35,355.92,356.98,3099505.0
2023-08-09,364.2,364.43,356.06,358.02,4425837.0
2023-08-08,359.42,364.25,358.85,363.73,3430319.0
2023-08-07,355.73,364.63,355.15,362.58,5385741.0
2023-08-04,353.99,355.11,349.39,349.99,2843922.0
2023-08-03,350.29,354.47,349.415,353.81,2943675.0
2023-08-02,351.45,352.889,349.69,351.19,3088573.0
2023-08-01,352.03,353.42,351.25,352.26,2296703.0
2023-07-31,350.73,352.33,350.21,351.96,2622162.0
2023-07-28,349.93,351.0,348.32,349.81,2473823.0
2023-07-27,350.69,351.27,348.6,349.31,2712061.0
2023-07-26,347.56,351.09,347.52,349.8,2684530.0
2023-07-25,349.32,349.66,345.54,347.58,3016291.0
2023-07-24,346.77,351.19,346.28,349.63,3270037.0
2023-07-21,346.755,347.62,345.1,345.76,3302140.0
2023-07-20,343.09,346.79,342.85,346.61,3147635.0
2023-07-19,344.21,345.38,341.99,342.43,3037697.0
2023-07-18,344.05,347.25,343.54,345.34,2569008.0
2023-07-17,341.09,345.72,341.09,344.25,2361019.0
2023-07-14,344.99,345.0,340.51,341.09,2675172.0
2023-07-13,345.6,346.205,343.45,343.54,2833854.0
2023-07-12,345.29,346.44,344.31,345.35,2899407.0
2023-07-11,341.23,343.84,340.925,343.37,2755374.0
2023-07-10,340.48,343.48,339.865,341.13,2966941.0
2023-07-07,340.52,344.07,340.385,340.9,2942066.0
2023-07-06,339.75,341.8,338.91,341.46,2550399.0
2023-07-05,340.05,341.89,338.7,341.56,2875644.0
2023-07-03,340.75,342.08,338.41,342.0,2047440.0
2023-06-30,338.78,342.5,338.4,341.0,4522066.0
2023-06-29,334.26,337.01,334.14,336.91,2499138.0
2023-06-28,336.05,336.4,332.61,334.15,3216531.0
2023-06-27,334.39,336.73,334.37,335.34,2626698.0
2023-06-26,335.17,335.825,331.84,334.12,3221884.0
2023-06-23,335.1,337.47,334.19,335.25,4453846.0
2023-06-22,338.84,338.85,335.66,336.96,3304552.0
2023-06-21,337.3,341.35,336.37,338.61,4507761.0
2023-06-20,338.15,339.28,336.6212,338.67,3752659.0
2023-06-16,341.02,341.3,337.66,338.31,8487204.0
2023-06-15,335.97,341.68,335.54,339.82,4116957.0
2023-06-14,337.22,340.38,334.09,335.9,5167308.0
2023-06-13,333.22,336.62,332.2,336.39,2953682.0
2023-06-12,335.16,335.345,332.22,333.6,2874530.0
2023-06-09,335.76,337.59,334.915,335.29,2619487.0
2023-06-08,335.49,336.32,334.1,335.95,2759715.0
2023-06-07,334.01,335.82,331.43,335.42,3730381.0
2023-06-06,329.04,334.16,328.68,333.41,3183994.0
2023-06-05,330.89,330.89,327.57,328.58,3091800.0
2023-06-02,325.16,330.67,324.42,329.48,3962988.0
2023-06-01,321.42,323.22,319.53,323.12,3377699.0
2023-05-31,321.12,322.41,319.39,321.08,5559285.0
2023-05-30,321.86,322.47,319.0,322.19,3232461.0
2023-05-26,320.44,322.63,319.665,320.6,3229873.0
2023-05-25,320.56,320.56,317.71,319.02,4251935.0
2023-05-24,322.71,323.0,319.56,320.2,3075393.0
2023-05-23,328.19,329.27,322.97,323.11,4031342.0
2023-05-22,330.75,331.49,328.35,329.13,2763422.0
2023-05-19,331.0,333.94,329.12,330.39,4323538.0
2023-05-18,326.87,329.98,325.85,329.76,2808329.0
2023-05-17,325.02,328.26,324.82,327.39,3047626.0
2023-05-16,322.46,324.69,322.355,323.75,2139996.0
2023-05-15,322.89,323.83,320.13,323.53,2191609.0
2023-05-12,323.82,324.2422,320.54,322.49,1938264.0
2023-05-11,320.995,322.96,319.805,322.64,2549339.0
2023-05-10,326.08,326.16,320.1501,322.99,2641134.0
2023-05-09,324.87,326.88,323.48,324.87,2285924.0
2023-05-08,328.26,330.69,325.79,326.14,3303393.0
