,open,high,low,close,volume
2023-12-29,140.68,141.435,139.9,140.93,14880961.0
2023-12-28,141.85,142.27,140.8283,141.28,12192549.0
2023-12-27,142.83,143.32,141.0512,141.44,17261305.0
2023-12-26,142.98,143.945,142.5001,142.82,11170066.0
2023-12-22,142.13,143.25,142.055,142.72,18513524.0
2023-12-21,140.77,142.03,140.4725,141.8,18101476.0
2023-12-20,140.33,143.0783,139.41,139.66,33507342.0
2023-12-19,138.0,138.77,137.45,138.1,20601632.0
2023-12-18,133.86,138.38,133.77,137.19,25699767.0
2023-12-15,132.92,134.83,132.63,133.84,58594004.0
2023-12-14,134.77,135.035,131.06,133.2,29619098.0
2023-12-13,134.545,134.78,132.95,133.97,25414461.0
2023-12-12,133.27,134.54,132.83,133.64,26583981.0
2023-12-11,133.82,134.79,132.89,134.7,24502860.0
2023-12-08,135.66,137.99,135.57,136.64,23016139.0
2023-12-07,136.6,140.0,136.23,138.45,38419426.0
2023-12-06,132.9,133.31,131.31,131.43,16265640.0
2023-12-05,130.37,133.54,129.73,132.39,19235145.0
2023-12-04,131.294,131.45,129.4,130.63,24117083.0
2023-12-01,133.32,133.5,132.1517,133.32,24267987.0
2023-11-30,136.4,136.96,132.79,133.92,29913531.0
2023-11-29,138.985,139.67,136.295,136.4,21014715.0
2023-11-28,137.63,138.66,137.04,138.62,17046868.0
2023-11-27,137.57,139.63,137.54,138.05,17886389.0
2023-11-24,139.54,139.677,137.47,138.22,8828640.0
2023-11-22,139.1,141.1,139.0,140.02,17310209.0
2023-11-21,137.94,138.965,137.705,138.62,17648067.0
2023-11-20,135.5,138.425,135.49,137.92,19589006.0
2023-11-17,137.82,138.0,135.48,136.94,25590191.0
2023-11-16,136.96,138.8799,136.08,138.7,17615068.0
2023-11-15,136.64,136.84,135.33,136.38,15840883.0
2023-11-14,135.65,137.24,135.1,135.43,22317345.0
2023-11-13,133.36,134.11,132.77,133.64,16409856.0
2023-11-10,131.53,134.27,130.87,134.06,20879838.0
2023-11-09,133.36,133.96,131.51,131.69,17976533.0
2023-11-08,132.36,133.54,132.16,133.26,15093598.0
2023-11-07,131.98,133.28,131.14,132.4,19223786.0
2023-11-06,130.22,131.56,129.93,131.45,15360362.0
2023-11-03,129.09,130.73,129.01,130.37,19529448.0
2023-11-02,129.56,130.09,128.11,128.58,24091672.0
2023-11-01,125.34,127.74,124.925,127.57,26536604.0
2023-10-31,126.27,126.56,123.925,125.3,21123418.0
2023-10-30,124.46,126.55,123.88,125.75,24165631.0
2023-10-27,124.03,124.44,121.46,123.4,37367673.0
2023-10-26,124.47,125.46,122.32,123.44,33907363.0
2023-10-25,129.77,130.1,126.09,126.67,58796067.0
2023-10-24,139.16,140.7099,138.75,140.12,26535198.0
2023-10-23,136.23,139.02,135.11,137.9,20780665.0
2023-10-20,138.59,139.04,136.245,136.74,24970263.0
2023-10-19,139.8,141.005,138.6,138.98,21831181.0
2023-10-18,140.75,141.99,138.705,139.28,18304869.0
2023-10-17,140.03,141.25,138.5287,140.99,17424024.0
2023-10-16,139.73,140.905,139.32,140.49,17345556.0
2023-10-13,140.65,141.34,137.97,138.58,19447565.0
2023-10-12,142.16,142.38,139.45,140.29,18173107.0
2023-10-11,139.85,142.22,139.84,141.7,20146341.0
2023-10-10,139.51,140.74,138.43,139.2,19554916.0
2023-10-09,137.99,139.97,136.7,139.5,16599099.0
2023-10-06,134.94,139.1857,134.94,138.73,20826683.0
2023-10-05,136.13,136.5,134.455,135.99,15922944.0
2023-10-04,133.66,136.57,133.43,136.27,22847987.0
2023-10-03,134.93,135.24,132.815,133.3,19628736.0
2023-10-02,132.155,135.36,132.065,135.17,19210394.0
2023-09-29,134.08,134.89,131.32,131.85,23237336.0
2023-09-28,130.69,134.1799,130.69,133.13,18201389.0
2023-09-27,129.44,131.72,129.38,131.46,18764201.0
2023-09-26,130.914,131.405,128.19,129.45,20378789.0
2023-09-25,130.77,132.22,130.03,132.17,14650032.0
2023-09-22,131.68,133.01,130.51,131.25,17355284.0
2023-09-21,132.39,133.19,131.09,131.36,22058375.0
2023-09-20,138.83,138.84,134.52,134.59,21473533.0
2023-09-19,138.25,139.175,137.5,138.83,15484644.0
2023-09-18,137.63,139.93,137.63,138.96,16233590.0
2023-09-15,138.8,139.36,137.18,138.3,48958837.0
2023-09-14,138.39,139.55,137.06,138.99,19064607.0
2023-09-13,135.9,137.7,134.93,137.5,16394915.0
2023-09-12,137.13,137.64,135.93,136.07,15212934.0
2023-09-11,137.38,138.2638,136.55,137.74,17180755.0
2023-09-08,135.87,137.515,135.87,137.2,17820005.0
2023-09-07,134.6,136.58,133.9601,136.2,16975956.0
2023-09-06,137.015,137.48,134.69,135.37,15814327.0
2023-09-05,136.44,137.37,135.56,136.71,17730218.0
2023-09-01,138.43,138.58,135.94,136.8,16671647.0
2023-08-31,137.05,138.4,136.82,137.35,28147850.0
2023-08-30,135.57,137.25,135.021,136.93,21773356.0
2023-08-29,132.9981,137.295,132.98,135.49,30803265.0
2023-08-28,132.08,133.24,130.85,131.79,16715467.0
2023-08-25,130.14,131.4,128.04,130.69,20678096.0
2023-08-24,134.7272,134.97,130.3,130.42,18680381.0
2023-08-23,130.85,134.07,130.51,133.21,26497027.0
2023-08-22,129.13,130.95,128.925,129.69,15569373.0
2023-08-21,127.85,129.26,127.16,128.93,21851070.0
2023-08-18,129.06,129.83,127.0,128.11,23627202.0
2023-08-17,130.45,132.4913,129.85,130.46,23665562.0
2023-08-16,129.28,130.8975,128.46,129.11,17548355.0
2023-08-15,131.59,131.99,129.819,130.27,14769173.0
2023-08-14,129.85,131.91,129.59,131.83,17526195.0
2023-08-11,129.202,130.44,128.75,130.17,15205465.0
2023-08-10,131.97,132.647,130.035,130.21,17855681.0
2023-08-09,132.19,132.47,129.505,130.15,17745218.0
2023-08-08,130.98,131.94,130.13,131.84,16835952.0
2023-08-07,129.51,132.06,129.43,131.94,17621041.0
2023-08-04,129.6,131.93,128.315,128.54,20521852.0
2023-08-03,128.37,129.77,127.775,128.77,15086132.0
2023-08-02,129.84,130.42,127.85,128.64,22705778.0
2023-08-01,130.855,132.92,130.75,131.89,22219012.0
2023-07-31,133.01,133.83,132.13,133.11,18381891.0
2023-07-28,130.97,134.07,130.92,133.01,26971011.0
2023-07-27,131.8,133.6,129.18,129.87,35931612.0
2023-07-26,130.36,131.37,128.71,129.66,46216895.0
2023-07-25,121.88,123.69,121.53,122.79,31820846.0
2023-07-24,121.926,123.35,121.38,121.88,22312220.0
2023-07-21,120.87,121.3,119.07,120.31,56514645.0
