,open,high,low,close,volume
2023-12-29,582.85,586.1704,579.47,582.92,2000055.0
2023-12-28,581.98,586.69,580.0,580.85,1973512.0
2023-12-27,570.5,583.68,570.5,581.51,2157140.0
2023-12-26,569.5,572.7722,567.64,570.67,1678898.0
2023-12-22,573.02,575.9,567.42,570.39,2226069.0
2023-12-21,571.41,574.9999,567.02,572.0,1786473.0
2023-12-20,576.48,579.86,570.03,570.21,2647100.0
2023-12-19,580.25,585.11,577.25,579.81,2191186.0
2023-12-18,576.47,583.05,575.7,579.76,3033944.0
2023-12-15,572.1,573.71,561.65,572.04,5317020.0
2023-12-14,594.5,594.5,568.69,573.67,5275911.0
2023-12-13,583.26,598.6699,582.31,597.5,3112544.0
2023-12-12,582.0,585.85,578.1663,584.76,2846097.0
2023-12-11,598.66,601.19,567.41,584.04,5614106.0
2023-12-08,589.0,598.3,584.77,598.05,2446790.0
2023-12-07,588.28,588.8699,577.61,588.27,2095042.0
2023-12-06,590.74,593.9,584.4,589.25,2075731.0
2023-12-05,583.28,591.8,579.373,588.15,2157343.0
2023-12-04,582.13,587.09,574.33,585.68,2577122.0
2023-12-01,591.7,601.97,583.0,584.04,3638565.0
2023-11-30,591.46,596.23,586.21,591.04,5658350.0
2023-11-29,592.2,594.5399,584.4401,591.86,1908649.0
2023-11-28,592.0,595.38,589.36,591.6,1793933.0
2023-11-27,601.17,603.69,591.14,591.53,2630713.0
2023-11-24,598.36,603.5,596.9813,601.1,1341674.0
2023-11-22,595.4,599.18,586.75,595.09,2052682.0
2023-11-21,598.44,601.56,591.77,592.6,1851562.0
2023-11-20,591.44,604.86,590.69,597.6,2831258.0
2023-11-17,592.45,596.1785,587.21,591.71,2628620.0
2023-11-16,591.5,595.0899,581.7501,588.75,3030535.0
2023-11-15,610.88,612.91,584.4165,588.54,4287011.0
2023-11-14,608.22,616.04,602.67,610.82,3827645.0
2023-11-13,594.35,618.75,578.15,612.71,5744828.0
2023-11-10,595.0,598.86,586.0,597.71,3650068.0
2023-11-09,614.76,615.65,583.43,591.32,6279799.0
2023-11-08,607.66,625.87,592.18,619.13,7776448.0
2023-11-07,597.0,601.94,590.125,599.93,3168249.0
2023-11-06,571.1,597.7096,571.01,595.19,3978451.0
2023-11-03,578.43,582.995,567.18,567.81,3056541.0
2023-11-02,578.33,597.4399,571.99,580.29,5181296.0
2023-11-01,555.0,558.43,551.26,554.46,2935938.0
2023-10-31,568.97,569.61,547.61,553.93,3661447.0
2023-10-30,571.21,573.2099,562.55,565.71,2290889.0
