,open,high,low,close,volume
2023-12-29,426.68,428.35,424.27,426.51,1706284.0
2023-12-28,423.77,428.36,423.68,426.32,1505039.0
2023-12-27,423.0,425.0125,422.96,424.36,1322841.0
2023-12-26,425.0,425.715,422.95,423.67,1258302.0
2023-12-22,424.75,427.165,422.96,424.1,1759004.0
2023-12-21,421.79,423.9,420.61,423.44,2213253.0
2023-12-20,425.08,427.61,419.24,419.45,3058344.0
2023-12-19,424.05,426.6799,422.52,425.47,2214393.0
2023-12-18,419.53,425.09,419.53,424.43,2686978.0
2023-12-15,412.62,419.26,411.6,418.57,5566617.0
2023-12-14,425.01,425.85,415.9,418.56,3989825.0
2023-12-13,421.86,426.37,419.145,424.68,3694400.0
2023-12-12,417.0,421.0,414.7,420.75,2736706.0
2023-12-11,412.46,416.17,412.38,415.71,2235989.0
2023-12-08,412.22,413.67,409.23,412.16,1959438.0
2023-12-07,412.07,413.57,409.99,413.15,2363020.0
2023-12-06,411.43,413.82,407.155,410.38,2192814.0
2023-12-05,407.09,409.05,404.315,408.69,2755635.0
2023-12-04,413.83,414.85,408.03,408.23,3097946.0
2023-12-01,412.89,416.6,411.57,414.36,2171558.0
2023-11-30,410.1,414.16,408.78,413.83,3203556.0
2023-11-29,411.01,412.0825,409.42,409.82,2151396.0
2023-11-28,409.08,410.64,407.46,409.01,2645103.0
2023-11-27,411.0,412.72,408.25,408.97,2665981.0
2023-11-24,412.49,412.97,410.53,412.5,1053479.0
2023-11-22,412.26,412.85,410.145,410.33,1968107.0
2023-11-21,405.72,410.345,405.69,408.95,2567692.0
2023-11-20,400.72,405.2,398.26,404.4,2768775.0
2023-11-17,399.97,401.12,397.91,400.3,2365689.0
2023-11-16,398.01,399.95,395.545,397.1,3060610.0
2023-11-15,397.47,399.28,394.76,396.83,2434711.0
2023-11-14,397.18,401.675,396.75,397.65,2734045.0
2023-11-13,394.35,395.63,393.0225,394.35,1614631.0
2023-11-10,390.04,395.0872,386.74,394.38,2807108.0
2023-11-09,390.96,391.45,387.265,387.96,2657074.0
2023-11-08,387.11,391.37,387.0,389.7,2838414.0
2023-11-07,386.0,389.59,384.3,388.87,2324356.0
2023-11-06,387.1,388.25,384.205,386.16,2020512.0
2023-11-03,385.0,388.44,383.73,386.05,2269147.0
2023-11-02,380.3,383.04,378.485,382.69,2816034.0
2023-11-01,378.67,380.4,375.04,377.82,2354844.0
2023-10-31,373.32,377.68,373.11,376.35,2978827.0
2023-10-30,366.52,373.23,364.72,372.42,3386593.0
2023-10-27,366.49,368.285,359.77,364.08,3624883.0
2023-10-26,371.02,375.55,363.04,364.59,6920077.0
2023-10-25,384.0,388.63,382.24,386.31,3504548.0
2023-10-24,385.5,389.43,383.87,386.91,2003266.0
2023-10-23,382.31,387.86,381.0,383.67,1771977.0
2023-10-20,387.87,389.99,384.17,384.41,2652548.0
2023-10-19,393.85,394.83,385.5,387.87,3473009.0
2023-10-18,399.11,401.37,392.56,393.21,1951454.0
2023-10-17,399.64,403.61,398.45,401.77,2176027.0
2023-10-16,400.24,404.43,398.78,401.16,2202218.0
2023-10-13,398.81,402.14,395.08,398.03,2235682.0
2023-10-12,403.8,405.34,397.32,399.9,1779046.0
2023-10-11,403.25,405.13,397.36,399.81,2055776.0
2023-10-10,395.54,402.715,393.85,400.37,2713818.0
2023-10-09,394.46,396.5,389.58,394.74,2475166.0
2023-10-06,393.23,401.0,390.5,397.97,2484148.0
2023-10-05,390.39,394.72,390.0,394.2,2116563.0
2023-10-04,392.0,394.47,388.58,393.76,1813405.0
2023-10-03,394.5,397.86,388.97,391.06,2528120.0
2023-10-02,393.6,396.355,392.4453,395.85,2856776.0
2023-09-29,402.03,402.18,394.25,395.91,3032386.0
2023-09-28,395.83,401.35,395.365,399.44,2216244.0
2023-09-27,396.21,397.0298,391.48,395.48,1987457.0
2023-09-26,400.0,400.85,393.61,395.38,2940561.0
2023-09-25,400.6,403.2299,399.84,402.49,1846580.0
2023-09-22,404.39,406.85,401.56,402.22,1885064.0
2023-09-21,408.34,408.77,402.1,403.36,2451064.0
2023-09-20,413.77,415.85,410.08,410.52,1580643.0
2023-09-19,416.96,417.1,411.1,413.53,1731089.0
2023-09-18,413.88,417.8863,413.0355,417.13,1808118.0
2023-09-15,411.86,418.3,411.14,414.31,4755526.0
2023-09-14,418.3,418.6,407.7801,413.34,3557785.0
2023-09-13,416.17,418.41,414.97,416.3,2142220.0
2023-09-12,415.95,417.645,415.25,416.27,1997630.0
2023-09-11,416.85,417.59,414.635,416.69,1544746.0
2023-09-08,415.0,416.33,413.855,414.84,1869468.0
2023-09-07,411.92,416.13,411.73,414.62,2502686.0
2023-09-06,410.78,413.38,408.89,413.18,2292121.0
2023-09-05,413.35,415.4,409.7,411.5,2045555.0
2023-09-01,413.84,416.51,412.49,415.57,1841670.0
2023-08-31,414.21,416.29,411.78,412.64,2535134.0
2023-08-30,414.78,417.777,413.52,413.91,2516721.0
2023-08-29,407.42,412.19,406.59,411.65,2188937.0
2023-08-28,404.0,407.8,403.15,407.44,1901274.0
2023-08-25,400.65,404.62,399.0,402.89,2154774.0
2023-08-24,401.59,404.0,397.5,397.67,1970016.0
2023-08-23,399.27,401.92,398.36,401.06,1943221.0
2023-08-22,395.0,398.77,393.68,397.84,2422581.0
2023-08-21,393.21,394.99,391.02,393.2,1869502.0
2023-08-18,389.82,393.84,388.83,392.17,2001800.0
2023-08-17,396.14,396.205,390.99,392.62,2118703.0
2023-08-16,393.44,399.2,393.12,394.37,2002011.0
2023-08-15,397.49,397.49,393.59,394.45,1753282.0
2023-08-14,396.45,399.23,394.6101,398.58,1638575.0
2023-08-11,395.75,396.67,392.8058,394.98,1464655.0
2023-08-10,396.46,400.63,395.712,397.14,2154471.0
2023-08-09,393.86,396.79,391.87,393.67,1806063.0
2023-08-08,396.18,396.38,390.13,393.19,1747173.0
2023-08-07,393.0,397.75,393.0,396.87,1559899.0
2023-08-04,391.61,396.09,390.0701,391.35,2215814.0
2023-08-03,387.56,393.44,386.42,393.01,2190534.0
2023-08-02,393.88,394.21,389.58,390.02,2410676.0
2023-08-01,393.78,397.3,392.36,397.07,2344258.0
2023-07-31,393.97,396.08,392.465,394.28,3578342.0
2023-07-28,397.96,398.0,388.8765,392.96,4501094.0
2023-07-27,405.19,405.19,393.95,394.5,3563319.0
2023-07-26,399.18,403.31,395.7474,402.41,2572262.0
2023-07-25,403.37,404.86,401.0,401.28,2490524.0
2023-07-24,397.48,404.91,396.61,404.79,3029808.0
2023-07-21,398.67,401.51,397.42,397.49,1868149.0
2023-07-20,397.14,399.7199,395.55,398.06,2570771.0
2023-07-19,398.0,399.85,396.31,398.27,1809748.0
2023-07-18,400.42,401.94,395.2101,398.16,2676239.0
2023-07-17,401.95,404.0,401.12,402.2,2344566.0
2023-07-14,402.12,403.49,400.295,402.51,1978498.0
2023-07-13,403.0,403.24,400.46,400.56,2354875.0
