,open,high,low,close,volume
2023-12-29,108.99,109.24,108.79,109.02,5889238.0
2023-12-28,108.3,109.06,108.13,108.77,5530591.0
2023-12-27,107.31,108.07,107.01,107.98,5386065.0
2023-12-26,107.5,108.09,107.22,107.63,4727766.0
2023-12-22,107.15,108.06,106.835,107.7,6028695.0
2023-12-21,105.785,106.61,105.34,106.39,5919489.0
2023-12-20,107.14,107.14,105.24,105.36,8441602.0
2023-12-19,106.05,106.655,105.44,106.49,7938475.0
2023-12-18,106.16,107.21,105.63,106.04,12805561.0
2023-12-15,104.89,106.27,104.26,105.11,26393297.0
2023-12-14,106.68,107.21,105.14,105.88,10722970.0
2023-12-13,104.16,107.11,103.97,107.11,10994979.0
2023-12-12,104.48,104.785,103.42,104.36,7933546.0
2023-12-11,104.85,105.47,103.57,104.37,7429918.0
2023-12-08,103.79,104.01,102.65,103.75,7530274.0
2023-12-07,105.585,105.6,103.725,103.88,9602210.0
2023-12-06,106.25,106.57,105.43,105.63,9524020.0
2023-12-05,104.92,106.4,104.18,106.23,10789086.0
2023-12-04,103.73,105.3791,103.73,105.06,10169907.0
2023-12-01,102.85,103.6761,102.66,103.46,6863429.0
2023-11-30,100.84,102.685,100.28,102.48,29299666.0
2023-11-29,100.28,101.17,99.8,101.13,10286779.0
2023-11-28,101.31,101.35,100.01,100.18,8738483.0
2023-11-27,101.91,102.15,100.7,101.43,7356536.0
2023-11-24,102.26,102.5136,101.44,101.87,3167952.0
2023-11-22,102.2,102.68,101.11,101.68,5724130.0
2023-11-21,103.0,103.63,101.845,102.21,7403611.0
2023-11-20,100.97,102.93,100.89,102.68,7449968.0
2023-11-17,102.0,102.42,100.96,101.75,6767096.0
2023-11-16,101.83,102.06,101.03,101.99,7889718.0
2023-11-15,101.88,102.17,100.72,101.35,7392556.0
2023-11-14,102.66,103.22,101.9,102.17,6944430.0
2023-11-13,101.09,102.55,100.58,102.47,5878212.0
2023-11-10,102.84,103.36,100.6,101.39,7627360.0
2023-11-09,104.71,104.71,102.15,102.38,7376967.0
2023-11-08,103.98,105.17,103.84,104.4,8152228.0
2023-11-07,104.35,104.72,103.73,104.0,6616423.0
2023-11-06,104.08,104.37,103.14,104.34,5951276.0
2023-11-03,103.37,104.25,102.78,103.38,6005966.0
2023-11-02,102.74,103.06,101.65,102.85,5379126.0
2023-11-01,103.55,104.23,102.73,102.85,5838081.0
2023-10-31,102.77,103.55,101.4,102.7,7522713.0
2023-10-30,103.28,104.5,102.61,102.68,6915539.0
2023-10-27,105.32,105.57,102.22,102.82,8933870.0
2023-10-26,103.1,107.225,102.99,105.55,11335685.0
2023-10-25,103.35,104.61,102.95,103.63,7849169.0
2023-10-24,103.315,104.06,102.68,103.03,6347902.0
2023-10-23,102.83,104.15,102.67,103.35,8492971.0
2023-10-20,99.99,103.36,99.99,102.67,12467505.0
2023-10-19,101.655,101.73,99.14,100.43,7647567.0
2023-10-18,104.11,104.46,101.905,101.99,7136408.0
2023-10-17,104.0,104.49,103.15,104.17,5827151.0
2023-10-16,104.2,105.37,104.06,104.14,6473527.0
2023-10-13,103.61,104.52,102.78,104.01,5787618.0
2023-10-12,103.52,103.95,102.93,103.59,5124130.0
2023-10-11,104.0,104.21,102.853,103.46,5375241.0
2023-10-10,104.32,104.46,103.16,103.61,7177194.0
2023-10-09,103.5,105.19,103.31,104.5,5061149.0
2023-10-06,103.73,104.43,102.92,103.88,6854948.0
2023-10-05,102.36,103.71,102.34,103.6,6449076.0
2023-10-04,101.58,102.43,101.33,102.17,6720526.0
2023-10-03,102.24,102.44,100.92,101.77,5924010.0
2023-10-02,102.83,102.83,101.35,102.55,7079859.0
2023-09-29,104.36,104.68,102.71,102.95,7232722.0
2023-09-28,104.57,104.965,103.78,104.3,4758881.0
2023-09-27,105.45,105.52,103.295,103.94,5635035.0
2023-09-26,105.12,106.55,105.11,105.39,5400608.0
2023-09-25,106.05,106.19,105.11,105.84,6052222.0
2023-09-22,107.22,107.22,105.96,106.34,5027400.0
2023-09-21,107.27,107.88,106.42,106.73,5856602.0
2023-09-20,108.21,108.4,107.25,107.31,4594165.0
2023-09-19,107.65,108.1799,106.91,107.36,5818324.0
2023-09-18,107.77,107.94,106.85,107.82,3911543.0
2023-09-15,108.12,108.925,107.26,107.52,9638992.0
2023-09-14,107.69,108.51,106.955,108.24,6872401.0
2023-09-13,108.98,109.67,107.67,107.81,6761746.0
2023-09-12,108.42,109.48,107.55,109.02,4605423.0
2023-09-11,109.325,109.44,108.34,108.6,5069348.0
2023-09-08,107.54,109.14,107.54,109.05,6807513.0
2023-09-07,106.91,108.69,106.86,107.94,8532636.0
2023-09-06,106.76,107.0,104.9201,106.49,7926130.0
2023-09-05,109.46,109.72,107.49,107.51,6379919.0
2023-09-01,109.65,110.37,109.25,109.84,4941343.0
2023-08-31,110.12,110.54,108.89,108.98,9212051.0
2023-08-30,110.3,110.795,109.72,110.21,4785070.0
2023-08-29,109.28,110.52,108.93,109.99,5673320.0
2023-08-28,110.23,110.61,108.65,108.93,4335768.0
2023-08-25,109.94,110.33,108.98,110.21,4839050.0
2023-08-24,110.95,112.02,109.09,109.45,6487808.0
2023-08-23,109.99,111.89,109.82,111.3,10588371.0
2023-08-22,109.6,109.6,107.2,107.23,6026068.0
2023-08-21,109.09,110.0,108.945,109.64,6012683.0
2023-08-18,108.97,109.5,108.21,109.2,6711426.0
2023-08-17,108.655,110.28,108.32,108.92,6457951.0
2023-08-16,108.5,109.47,108.28,108.73,5332948.0
2023-08-15,108.89,109.42,108.42,108.66,5118737.0
2023-08-14,107.92,109.43,107.31,108.91,8427260.0
2023-08-11,105.95,107.705,105.59,107.44,5904518.0
2023-08-10,106.21,107.04,105.42,105.57,6525745.0
2023-08-09,106.27,106.79,105.79,106.1,6479562.0
2023-08-08,105.69,107.19,105.69,106.41,10152160.0
2023-08-07,105.29,106.28,104.42,106.09,8259212.0
2023-08-04,105.64,106.42,104.51,105.0,6701060.0
2023-08-03,105.08,105.78,104.874,105.73,6039386.0
2023-08-02,106.03,108.14,104.88,105.7,10875384.0
2023-08-01,109.6,109.6,105.14,105.28,10012169.0
2023-07-31,106.55,106.77,105.67,106.65,7400965.0
2023-07-28,105.43,106.65,105.24,106.34,6904144.0
2023-07-27,107.24,107.62,105.17,105.27,9813268.0
2023-07-26,106.8,108.005,106.06,107.14,7042702.0
2023-07-25,107.64,108.72,107.32,107.53,6498699.0
2023-07-24,109.99,110.34,108.5,108.79,6045523.0
2023-07-21,108.73,110.615,108.38,110.39,8193967.0
2023-07-20,106.55,108.95,106.06,108.46,8073043.0
2023-07-19,106.155,107.38,105.91,105.95,6608597.0
2023-07-18,105.88,107.025,105.345,105.95,7499104.0
2023-07-17,107.04,107.44,105.29,105.57,7376876.0
2023-07-14,106.26,107.68,106.26,107.34,7209939.0
2023-07-13,107.33,107.91,106.26,106.32,9764428.0
2023-07-12,108.37,109.05,107.185,107.47,8376714.0
2023-07-11,109.48,110.02,108.25,108.7,6084941.0
2023-07-10,109.14,110.6,109.1,109.96,5949179.0
