,open,high,low,close,volume
2023-12-29,260.57,261.46,259.67,260.35,4074872.0
2023-12-28,258.54,260.97,258.54,260.4,3020454.0
2023-12-27,259.25,259.77,258.31,258.93,3976811.0
2023-12-26,258.53,259.735,258.53,259.16,2085089.0
2023-12-22,260.0,261.205,258.22,258.43,5111707.0
2023-12-21,257.51,259.99,257.04,259.54,6246652.0
2023-12-20,260.5,260.82,257.08,257.11,7240857.0
2023-12-19,258.61,260.34,257.2,259.99,8720308.0
2023-12-18,258.7,259.59,257.9473,258.37,6041140.0
2023-12-15,254.51,258.37,254.446,258.03,13373952.0
2023-12-14,263.19,263.25,256.4,258.73,8168683.0
2023-12-13,259.15,262.48,258.69,262.38,4859887.0
2023-12-12,257.3,259.72,256.395,259.56,5946564.0
2023-12-11,255.0,257.63,255.0,256.52,6479312.0
2023-12-08,255.0,256.04,253.87,255.74,3732515.0
2023-12-07,254.89,256.14,253.5,255.82,3589256.0
2023-12-06,255.8,256.83,253.53,254.29,3804631.0
2023-12-05,254.19,254.82,252.14,254.61,4199094.0
2023-12-04,255.91,257.385,254.35,254.44,5247450.0
2023-12-01,255.79,256.91,253.9,256.45,3939644.0
2023-11-30,254.25,256.77,253.17,256.68,6874885.0
2023-11-29,253.92,256.065,253.52,254.23,4955093.0
2023-11-28,253.85,254.15,251.61,252.94,5234927.0
2023-11-27,254.3,254.98,252.52,254.14,5478887.0
2023-11-24,254.19,254.7,253.5,254.3,1640931.0
2023-11-22,253.0,254.54,252.66,253.72,5702542.0
2023-11-21,250.03,253.34,250.03,252.23,7213943.0
2023-11-20,249.61,250.93,245.6,249.97,8604744.0
2023-11-17,249.45,250.24,248.66,249.56,7238324.0
2023-11-16,248.59,249.45,247.27,248.57,7051607.0
2023-11-15,246.81,248.24,245.34,248.11,13258892.0
2023-11-14,246.17,247.93,245.58,246.94,14092026.0
2023-11-13,245.0,245.68,244.11,244.67,4088661.0
2023-11-10,243.98,245.27,241.97,245.25,4094940.0
2023-11-09,244.33,244.48,240.97,241.64,4866610.0
2023-11-08,243.49,244.75,242.8,243.91,5117726.0
2023-11-07,243.41,245.07,243.38,244.77,4219744.0
2023-11-06,244.0,244.7799,242.61,243.49,5254340.0
2023-11-03,245.12,245.32,242.26,243.6,5030010.0
2023-11-02,239.91,243.25,239.2,243.25,6286743.0
2023-11-01,236.14,239.04,235.68,238.58,4996404.0
2023-10-31,233.57,235.7199,232.99,235.1,4828403.0
2023-10-30,232.19,233.38,230.03,233.08,5170329.0
2023-10-27,231.17,231.39,228.03,229.27,5540934.0
2023-10-26,234.57,235.605,230.36,231.28,6414495.0
2023-10-25,232.25,238.48,231.29,236.85,10365335.0
2023-10-24,232.89,236.53,232.89,234.65,6844055.0
2023-10-23,231.36,234.46,231.28,231.53,5071710.0
2023-10-20,234.13,235.77,232.64,233.38,5748421.0
2023-10-19,237.47,237.92,233.405,233.81,5927439.0
2023-10-18,239.96,240.83,236.99,237.47,9528487.0
2023-10-17,239.63,241.48,238.29,241.2,4527629.0
2023-10-16,239.0,240.71,238.33,240.07,6227475.0
2023-10-13,236.39,238.65,236.23,237.67,4966925.0
2023-10-12,236.71,237.73,234.89,236.78,4472920.0
2023-10-11,237.55,238.505,234.89,235.68,4760890.0
2023-10-10,234.9,238.22,234.28,236.6,4644223.0
2023-10-09,232.8,235.17,231.7,234.44,5372332.0
2023-10-06,233.17,236.59,232.75,235.04,6401280.0
2023-10-05,230.41,234.19,230.22,233.48,6126433.0
2023-10-04,229.48,231.7,228.88,231.22,5430925.0
2023-10-03,230.47,231.75,227.78,228.81,5585744.0
2023-10-02,229.24,231.37,228.77,231.27,5175345.0
2023-09-29,232.84,233.03,229.65,230.01,6045177.0
2023-09-28,230.67,232.535,229.67,231.66,4203886.0
2023-09-27,230.26,230.68,227.92,229.5,6006676.0
2023-09-26,231.93,232.67,229.6,229.65,6193243.0
2023-09-25,235.38,235.47,232.21,233.36,5921753.0
2023-09-22,236.75,237.79,234.88,235.08,5935586.0
2023-09-21,240.77,240.78,236.27,236.61,6881943.0
2023-09-20,243.63,244.53,241.67,241.86,5756898.0
2023-09-19,245.0,245.12,241.46,243.56,4709207.0
2023-09-18,240.94,245.23,240.77,244.66,4771567.0
2023-09-15,241.9,244.1,240.03,241.07,13077932.0
2023-09-14,245.0,245.54,238.75,241.5,11999981.0
2023-09-13,247.15,250.06,246.61,247.83,5657025.0
2023-09-12,246.94,247.76,246.01,247.3,3499561.0
2023-09-11,247.33,248.36,246.27,247.22,2995835.0
2023-09-08,247.79,248.14,246.44,247.29,3309819.0
2023-09-07,245.5,247.4,245.1114,247.14,4008017.0
2023-09-06,245.42,246.66,244.21,246.16,4520355.0
2023-09-05,248.35,248.69,245.2,245.34,4459645.0
2023-09-01,247.47,248.87,246.77,248.11,4112905.0
2023-08-31,245.59,248.02,245.45,245.68,5532610.0
2023-08-30,246.42,248.23,246.05,246.23,4573291.0
