,open,high,low,close,volume
2023-12-29,100.37,100.59,99.62,99.98,17746408.0
2023-12-28,101.39,101.61,100.13,100.19,16329252.0
2023-12-27,102.04,102.55,101.335,101.66,14535713.0
2023-12-26,102.74,103.03,102.115,102.14,16835144.0
2023-12-22,102.31,102.94,101.82,101.91,12927831.0
2023-12-21,101.47,102.005,100.805,101.73,19250933.0
2023-12-20,103.5,103.94,101.125,101.27,20988863.0
2023-12-19,102.0,103.19,101.79,102.99,18873407.0
2023-12-18,102.13,103.11,101.52,101.65,21610428.0
2023-12-15,100.59,101.0,100.31,100.9,55527018.0
2023-12-14,99.85,102.135,99.72,101.58,26165653.0
2023-12-13,98.04,99.03,97.655,98.92,19915444.0
2023-12-12,98.68,98.68,97.48,98.05,26083964.0
2023-12-11,99.8,99.86,98.58,99.62,22252250.0
2023-12-08,99.02,99.7867,98.75,99.55,22074945.0
2023-12-07,99.86,100.835,98.09,98.42,29990727.0
2023-12-06,100.0,100.72,98.34,99.11,31117498.0
2023-12-05,102.27,102.34,100.29,100.44,22250251.0
2023-12-04,102.13,103.36,101.59,102.43,21523942.0
2023-12-01,102.5,104.22,102.22,102.99,17845276.0
2023-11-30,103.11,104.4778,101.81,102.74,29254687.0
2023-11-29,104.27,104.58,101.64,102.34,26802092.0
2023-11-28,104.24,104.91,103.88,103.9,20629512.0
2023-11-27,104.1,104.4,103.18,103.96,18013518.0
2023-11-24,104.02,105.465,103.91,104.57,9480768.0
2023-11-22,102.58,104.12,101.94,104.01,18073240.0
2023-11-21,104.21,104.695,103.215,104.46,14988984.0
2023-11-20,105.38,105.88,104.43,104.5,17464016.0
2023-11-17,103.06,105.43,102.75,104.96,22991823.0
2023-11-16,102.9,103.27,101.15,102.46,22469073.0
2023-11-15,103.96,105.15,103.5,103.66,20137561.0
2023-11-14,104.3,104.815,103.87,104.29,18260516.0
2023-11-13,104.05,105.135,103.805,104.84,15308382.0
2023-11-10,103.93,104.41,102.905,103.75,17831341.0
2023-11-09,103.67,103.97,102.855,102.96,18380538.0
2023-11-08,103.73,104.9,102.89,102.93,19184067.0
2023-11-07,104.47,104.86,103.29,104.21,20272486.0
